uid;company;position
23608564;Экономичный универсам В двух шагах;Администратор
895500;НТЦ Технологии информационных систем;Директор по проектам
44053241;Завод;электро-монтер
137778755;тч-2;начальник
102513044;Радиоволна;повар
105894133;т.д ждановичи;денежная
144189380;ЗАГС;специалист
140268694;ИП Аюбов А.А.;кинолог
31698327;ООО Про менеджмент;Менеджер
4330722;ОАО ММЗ;Инженер-конструктор
54002636;ООО Мантрак-восток;инженер
324307874;РЖД;диад
133505530;свой салон красоты;хозяйка
140947531;ф\к бананц;массажист
82789590;Лисичанская городская детская больница;Заведующий соматическим отделением
253283082;AICM NGO;President
88872370;ооо татвойлок;старший вахтер
59118079;ООО.ТЭСС;Эл.газосварщик
115333472;"Eagle Accounting &amp; Payroll Services, Inc.";President
144803169;ОАО ВНИИАЭС;Экономист по труду и заработной плате
112426897;делать мне нечего.....;сижу дома смотру телек.....вот моя должность.........
137165584;ОАО Информационные спутниковые системы;Техник
106215555;склад Черный Кот;Кладовщик
103361944;СДЮШОР  Горизонт;Плавец 1 разряда
153199185;ТТТТТТТТ;ДДДДДДДД
140136624;Администрация района;Управляющий делами
83686311;Укрпошта;гол.економіст
158389408;Стоянка;Охранник
1865579;Там где звезды;Сама-себе АНФИСА ЧЕХОВА
6344632;ГР. ШАН-ХАЙ;КОНЦЕРТНЫЙ ДИРЕКТОР
94074819;ООО ШМЗ;Менеджер по продажам
82904970;qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq;qqqqqqqqqqqqqqqqqqqqqq
152989285;ИП Садаков КанЦмаркет;Старший продавец-консультант
147971388;военская часть;генерал
222777237;Жопа;лазеть в жопа
95987180;ТОО  ПК Цементный Завод Семей;Маркшейдер
73195307;o/у ОУР РОВД;старший помошник младшего конюха
96386822;ДКАРОСТВЕРТОЛ;директор
186774605;Клуб 220;Тренер танцевальной аэробики
86870203;Verizon;SysAdmin
116314929;ООО ИНВИТРО;мед.техник
34945052;Водоканал;слесарь кип
226163370;Emgoldex;Инвестор
330895427;PT ANAK JALANAN FC;BOS
30436282;The Central Intelligence Agency;Spy
47502430;Дневной дозор;Магистр чёрной магии
188664094;Кирпичный завод;зав.складом
60204275;Griesson;maschienenbedinerin
178984672;Санкт-Петербург;Водитель
340492914;ШУГАРИНГ - Сахарная депиляция . Нижний Новгород;мастер
136544379;автосервис;начальник
312931729;школа;Учитель физической культуры
140463613;салон красоты;администратор
139092837;Детский лагерь.;Вожатая
243603229;ООО СВ-Мастер;Генеральный директор
55710329;постоянно разное место работы в моей трудовой деятельности получается;любое строительное исполнение если сойдемся в цене
196667415;ИП;Директор фирмы
166320075;голубая горка;Технолог общественного питания
166635246;КЛПУ№2;медсестра УЗДГ
211016104;МЧС России;Ведущий специалист
150821358;Стоя раком у дивана;Подрочун
231962834;Formula Sochi;Head of PR
