uid;company;position
105885814;АЛАНИЯ;FUTBOL
215605872;Телеконтакт;Оператор Call-центра
153207583;ГУЗ РПЦ;врач акушер-гинеколог
238866942;ЖФК;Сборщик пакетов
228605942;ОООСХП СВИЯГА;ВЕТ.ФЕЛЬШЕР
255135713;ООО Уралгорнефтемаш;Мастер цеха
110547115;укцеукепыуке;ваенным
54872274;ЗАО ВиТаИ;Инженер-программист
142526603;FK LOKOMOTIV;Vip
69801165;кидала;класный пацан
88118220;ФГБОУ ВПО МГУТУ;Начальник УО
118396679;гимназия 11;учитель английского языка
62868877;Я учусь в школе винк и я поруга маленькой принцессы;Винкс и только Винкс и это мы винкс и пыльца нам нужна мы винкс
71659827;СПК НИКА;Председатель
113182242;магазин  мила;гл.продовец
112471021;школа;ученица
318123241;ИП;Индивидуальный предприниматель
12215714;http://www.ofit-travel.com.ua/;Директор
73841007;В школе;ученица
28622970;шахта комсомольская;инспектор отдела кадров
113684679;GTA;Директор
6897176;ОООДон-Экспресс Плюс;Директор
34684078;мусорщик;лох
162006114;Харьковоблэнерго;ДЭМ
74778735;fgfgf;fgfgfg
8120681;Plastilux;Регіональний менеджер
103170819;водитель пазика;водитель
160026990;УСБ;килер
89697646;Учреждение образования;Учитель
36595249;Hip-Hop индустрия;Элита
23049844;ОККО-НАФТОПРОДУКТ;Провідний фахівець з аналізу та координації роботи служби експлуатації АЗС
69429094;Аэрофлот- Российские Авиалинии;2-й пилот
298337956;Alice Nine, DiaWolf, The Tokyo High Black;Guitarrista
148239765;ЛВЧД-14;проводник пассажирских вагонов
34678638;супермаркет Алмаз;продавец консультант
120877759;ДМШ No13;Музыкант
16396260;Круная организация;юрист
114982774;APEC;Manager
299755831;Агенство переводов АТИ;Руководитель  компании
250015453;астана;Дизайнер интерьера
158190004;совецкая 8;Продавец
237166570;Коммунальное хозяйство;Бухгалтер
72649619;...;.....
348506455;Укрэксимбанк;Главный экономист
33212811;Школа;учитель
39939381;Пед училище;профорг
39422313;Курганстат;экономист
6965718;Налоговая.;юрист
180776290;Аптека;Фармацевт
86760959;ВК ДГП ГосНПЦзем;землеустроитель
268691406;ККУ УГОЧС И ПБ в Алтайском крае;начальник ПЧ
210248120;ГОРОД;ГОВНОДАВ
19052295;Grid Dynamics;Senior Software Engineer
49191158;ЦКДОбериг;Художник-декоратор
69254724;Бизнес;Владелец
51681934;Админ компьютерного заведения;Администратор
112370418;C R U;***********
100762271;Школа;Ученица
274357892;Аптека Максавит;фармацевт
10085773;ПНИПУ, каф. ИЯЛП;заведующая кафедрой
61891835;Зеленый крокодил;Старший грузчик
178281512;Banana;Everywhere
4086305;РОКБ;программист
146653508;нету;капитан
183598778;Ve-gaz;Пиар менеджер
10151533;Selfemployed;Project manager
74557752;республиканский государственный корейский театр музыкальной комедии;актриса муз.драмы
79063323;дом;охраник
64474779;Электротехника;Предприниматель
318995394;Экзотика;Папа Римский
33649031;аптека;Фармацевт
90444221;Администрация Орджоникидзевского района города Екатеринбурга;главный специалист
25431410;Магазин;продавец
139826048;Администрация г. Перми;начальник департамента
82543879;вч. А-1231;солдат!!!!!!!!
336097907;https://www.youtube.com/channel/UCn8nyL-c1f32D7Vw0ki9RiA;https://www.youtube.com/channel/UCn8nyL-c1f32D7Vw0ki9RiA
2651832;Газпром инвест;Начальник отдела
221368413;ДДТ№1,П/кМечта;Педагог
48548617;ГТФ;рабочий
14755165;ДонНАСА;Ассистент кафедры Экономика предприятий
84561930;Водитель трамвая и разнощик пиццы;Глупый вопрос
368983750;Школа №13;Учитель ОБЖ
248454928;Complex Dream Studios;Editor
9844463;ОАО ЗСФ ВНИПИэнергопром;инженер
156818323;Школа;Учительница
172393408;vk.com/so_exhale;Координатор проектов
81526867;Кинематограф;актриса
97036418;DGDSGD;DSGDSGDS
166733830;сы;не
188138670;D.inc. Wear;Dancer
30311272;ДоминантСтрой;Инженер-сметчик
28866991;Ипполитовка, ВГИК;преподаватель
127055886;Директор ТОПОЛЯ;ДИРЕКТОР
43291642;радиозавод им Попова РЕЛЕРО;инженер-конструктор
289997635;QWEERTQWRT;XDCSNKDJFNSJ
3108974;ИЯФ СОРАН;Старший научный сотрудник
85551065;Администрация города;начальник отдела
78308569;ЮКЗемля;Юрист
1744020;ЗАО Ставан-М;менеджер по проектам, инженер КИПиА
186705296;ОАО Сукно;Контролер качества
179647738;фото модель;Модель-фотомодель
72460544;В магозине;Секрет...
79143061;dfdfdf;fdfdfdfdf
100196692;шпола;президент
162903371;Индивидуальный предприниматель;Руководитель
78362800;ОООэльдорадо;кассир
96398211;Спорт;спортсмен
68625290;лагерь Питер-Ямал;вожатая
77143965;эврз;слесарь подвижного состава
76137191;Отдел Держклмзему у Березнеговатском районе;Специалист I категории
13622744;Балтийский банк;Секретарь
133535634;СП ОАО Узэлектроаппарат-Электрощит;инженер-конструктор
76228754;нет ищу;директор
142611167;3333;3333
32982791;Банк;специалист
358039046;Виталюр магазин;Повар
1942158;ООО ЕвразТехника;Начальник отдела эксплуатации и поддержки пользователей
136976389;ТД Мастер;менеджер
210454032;ООО Норд Империал;Добыча нефти
8975323;Вин-завод;начальник склада
